idx      freq   hz   halfsplid  fullsplid
177,     1122,  介,       11,      167
178,     8751,  仍,       19,      304
179,   126905,  从,        3,       60
180,        4,  仏,        7,      121
181,      201,  仑,       13,      218
182,     2114,  仓,        3,       54
183,     1417,  仔,       28,      407
184,     1141,  仔,       28,      415
185,      762,  仕,       21,      338
186,   343908,  他,       22,      348
187,      541,  仗,       29,      426
188,     6082,  付,        7,      123
189,     2750,  仙,       26,      379
190,        5,  仚,       26,      379
191,        7,  仜,        9,      152
192,       64,  仝,       22,      361
193,       53,  仞,       19,      303
194,      183,  仟,       18,      287
195,        4,  仡,        8,      129
196,        4,  仡,       27,      396
197,     5505,  代,        5,       87
198,     7764,  令,       13,      210
199,   100400,  以,       27,      396
200,      328,  仨,       20,      313
201,       17,  仩,       21,      332
202,     1798,  仪,       27,      396
203,        8,  仫,       14,      240
204,    65806,  们,       14,      229
205,        7,  仭,       19,      303
206,        5,  仮,        7,      115
207,      425,  仰,       27,      393
208,        7,  仱,       18,      287
209,     3274,  仲,       29,      433
210,       11,  仳,       17,      276
211,        7,  仴,       25,      375
212,       28,  仵,       25,      376
213,     7286,  件,       11,      164
214,     5686,  价,       11,      163
215,        1,  价,       11,      167
216,     7852,  任,       19,      303
217,        6,  仼,       25,      371
218,     6409,  份,        7,      118
219,     1253,  仿,        7,      116
220,       11,  伀,       29,      433
221,     1180,  企,       18,      285
222,        6,  伂,       17,      273
223,        6,  伃,       27,      402
224,        6,  伄,        5,       98
225,       10,  伅,        5,      107
226,       17,  伈,       26,      383
227,       13,  伉,       12,      179
228,     3850,  伊,       27,      396
229,        9,  伋,       11,      162
230,     1069,  伍,       25,      376
231,       84,  伎,       11,      162
232,      826,  伏,        7,      123
233,    10722,  伐,        7,      114
234,     2127,  休,       26,      386
235,        9,  伒,       27,      397
236,        8,  伓,       17,      276
237,        4,  伔,       21,      336
238,        9,  伕,        7,      123
239,     3095,  众,       29,      433
240,     1969,  优,       27,      401
241,      272,  伙,        9,      161
242,   208391,  会,        9,      159
243,       45,  会,       12,      189
244,        4,  伛,       27,      402
245,        6,  伜,       28,      418
246,       14,  伝,       27,      405
247,     1190,  伞,       20,      315
248,     2561,  伟,       25,      372
249,    14496,  传,        4,       81
250,      308,  传,       29,      438
251,       86,  伢,       27,      391
252,     5553,  伤,       21,      332
253,       14,  伥,        4,       70
254,     1356,  伦,       13,      218
255,        5,  伧,        3,       54
256,        5,  伧,        4,       73
257,      979,  伪,       25,      372
258,       48,  伫,       29,      435
259,        4,  伬,       28,      411
260,        5,  伭,       26,      379
261,      134,  伯,        2,       36
262,     1525,  伯,        2,       49
263,      426,  估,        8,      135
264,       14,  伲,       15,      251
265,        6,  伳,       26,      382
266,     1658,  伴,        2,       37
267,      174,  伶,       13,      210
268,      997,  伸,       21,      336
269,        4,  伹,       28,      418
270,       12,  伺,        3,       59
271,       66,  伺,       20,      321
272,        6,  伻,        2,       42
273,     3298,  似,       20,      321
274,      583,  似,       21,      338
275,      335,  伽,        8,      124
276,       35,  伽,       11,      163
277,        0,  伽,       18,      290
278,       13,  伾,       17,      276
279,        4,  伿,       27,      396
280,        4,  佁,       27,      396
281,       49,  佃,        5,       97
282,        5,  佃,       22,      357
283,   115582,  但,        5,       88
